"","Target","Age","Smstr1.GPA","Smstr2.GPA","GPA","Gender","Mart.Stat","Nationality","Mom.Ed","Mom.Occp","Dad.Ed","Dad.Occp","Course","Admission.Grade","Scholarship","Age.Group","Grade"
"723","Graduate",18,0,0,0,0,1,1,37,9,37,9,171,124,0,"A_yng_adults","F"
"724","Graduate",18,3.53,3.53,3.53,0,1,1,19,9,37,9,9500,131.5,0,"A_yng_adults","B+"
"725","Dropout",18,3,2.75,2.88,0,1,1,1,3,1,4,9070,121.4,0,"A_yng_adults","B-"
"726","Graduate",18,3.39,3.55,3.47,0,1,1,3,3,3,3,9500,100,0,"A_yng_adults","B+"
"727","Enrolled",18,0,0,0,0,1,1,4,2,1,1,9500,133,0,"A_yng_adults","F"
"728","Enrolled",18,3,3.25,3.12,0,1,1,1,4,1,4,9085,139.4,0,"A_yng_adults","B"
"729","Graduate",18,3.12,3.04,3.08,0,1,1,37,5,19,7,9773,133.5,0,"A_yng_adults","B"
"730","Graduate",18,3.59,3.59,3.59,0,1,1,1,2,19,9,9500,127.8,1,"A_yng_adults","B+"
"731","Enrolled",18,2.94,2.8,2.87,0,1,1,38,9,19,7,9254,125.1,0,"A_yng_adults","B-"
"732","Graduate",18,3.62,3.25,3.44,0,1,1,19,9,19,9,9130,163.3,1,"A_yng_adults","B+"
"733","Graduate",18,3.14,2.96,3.05,0,1,1,1,9,38,8,9773,131.5,0,"A_yng_adults","B"
"734","Graduate",18,3.46,3.72,3.59,0,1,1,1,5,1,5,9500,132.6,1,"A_yng_adults","B+"
"735","Graduate",18,2.96,3.45,3.2,0,1,1,19,0,1,5,9238,122.1,0,"A_yng_adults","B"
"736","Graduate",18,3.2,3.25,3.22,0,1,1,37,9,38,9,9147,128,1,"A_yng_adults","B"
"737","Graduate",18,3.64,3.74,3.69,0,1,1,19,7,38,7,9500,117.1,1,"A_yng_adults","B+"
"738","Graduate",18,2.81,2.75,2.78,0,1,1,1,4,19,5,9147,136.3,0,"A_yng_adults","B-"
"739","Dropout",18,3.6,3.65,3.62,0,1,1,40,2,19,9,9130,130.7,0,"A_yng_adults","B+"
"740","Dropout",18,3.07,3.5,3.29,0,1,1,2,6,2,6,9085,128.5,0,"A_yng_adults","B"
"741","Graduate",18,3.46,3.38,3.42,0,1,1,1,3,1,3,9670,119.4,1,"A_yng_adults","B+"
"742","Graduate",18,3.68,3.66,3.67,0,1,1,38,5,1,6,9500,133.9,0,"A_yng_adults","B+"
"743","Graduate",18,3.42,3.63,3.52,0,1,1,3,1,3,5,9500,118.8,0,"A_yng_adults","B+"
"744","Graduate",18,3.49,3.68,3.58,0,1,1,3,2,1,3,9500,131.6,0,"A_yng_adults","B+"
"745","Graduate",18,0,0,0,0,1,1,19,9,37,7,171,176,1,"A_yng_adults","F"
"746","Graduate",18,3.5,3.5,3.5,0,1,1,1,4,1,9,9500,133,1,"A_yng_adults","B+"
"747","Enrolled",18,3.14,3.14,3.14,0,1,1,3,2,19,3,9773,139.8,0,"A_yng_adults","B"
"748","Graduate",18,3.2,2.96,3.08,0,1,1,3,2,4,2,9085,130.6,0,"A_yng_adults","B"
"749","Graduate",18,2.83,2.71,2.77,0,1,1,12,4,1,4,9254,122,0,"A_yng_adults","B-"
"750","Graduate",18,3.21,3.46,3.34,0,1,1,38,9,19,9,9773,126.6,0,"A_yng_adults","B+"
"751","Enrolled",18,3.35,3.19,3.27,0,1,1,19,9,1,4,9500,128.8,0,"A_yng_adults","B"
"752","Graduate",18,3.08,3.4,3.24,0,1,1,1,7,37,7,9670,111.1,0,"A_yng_adults","B"
"753","Dropout",18,3.29,3.55,3.42,0,1,1,37,0,37,90,9773,134.2,0,"A_yng_adults","B+"
"754","Graduate",18,3.33,3.4,3.37,0,1,1,1,3,19,3,9147,123,1,"A_yng_adults","B+"
"755","Graduate",18,3.25,3.29,3.27,0,1,1,38,5,37,7,9085,123.9,0,"A_yng_adults","B"
"756","Graduate",18,3.42,3.5,3.46,0,1,1,19,9,19,6,9773,120.1,1,"A_yng_adults","B+"
"757","Graduate",18,3.16,3.16,3.16,0,1,1,38,8,19,7,9500,127.3,0,"A_yng_adults","B"
"758","Dropout",18,2.5,0,1.25,0,1,1,12,9,37,9,9254,122,0,"A_yng_adults","D"
"759","Dropout",18,3.06,2.75,2.91,0,1,1,19,4,1,4,9670,107.5,1,"A_yng_adults","B-"
"760","Graduate",18,3.08,3,3.04,0,1,1,19,4,12,4,9147,125,0,"A_yng_adults","B"
"761","Dropout",18,2.5,0,1.25,0,1,1,19,7,19,7,9254,121.6,1,"A_yng_adults","D"
"762","Graduate",18,3.07,2.86,2.96,0,1,1,19,9,38,9,9238,110,1,"A_yng_adults","B-"
"763","Graduate",18,3.08,3.08,3.08,0,1,1,1,4,38,5,9500,125,1,"A_yng_adults","B"
"764","Enrolled",18,3.29,3.12,3.2,0,1,1,38,4,1,5,9773,121.1,0,"A_yng_adults","B"
"765","Graduate",18,4.08,3.85,3.96,0,1,1,1,3,38,9,9147,162.3,1,"A_yng_adults","A-"
"766","Dropout",18,0,0,0,0,1,1,37,7,37,9,9500,126.8,0,"A_yng_adults","F"
"767","Graduate",18,3.66,3.66,3.66,0,1,1,38,9,38,9,9500,142,0,"A_yng_adults","B+"
"768","Graduate",18,3.17,3.21,3.19,0,1,1,1,4,38,9,9773,114.4,1,"A_yng_adults","B"
"769","Graduate",18,2.94,3,2.97,0,1,1,3,3,1,4,9238,133,0,"A_yng_adults","B-"
"770","Graduate",18,3.61,3.33,3.47,0,1,1,3,2,1,4,9130,151,0,"A_yng_adults","B+"
"771","Enrolled",18,3.13,3.3,3.21,0,1,1,2,2,38,10,9500,135.4,0,"A_yng_adults","B"
"772","Graduate",18,3.19,2.94,3.06,0,1,1,38,9,37,7,9085,120.1,0,"A_yng_adults","B"
"773","Graduate",18,3.88,3.57,3.72,0,1,1,37,9,38,8,9238,152.4,1,"A_yng_adults","A-"
"774","Graduate",18,2.83,2.83,2.83,0,1,1,3,5,1,5,9238,125.7,1,"A_yng_adults","B-"
"775","Dropout",18,0,0,0,0,1,1,3,4,1,4,171,162.2,0,"A_yng_adults","F"
"776","Graduate",18,3.92,3.46,3.69,0,1,1,2,123,1,135,9773,155.7,1,"A_yng_adults","B+"
"777","Enrolled",18,3.05,2.95,3,0,1,1,1,3,1,8,9500,115.6,0,"A_yng_adults","B"
"778","Enrolled",18,2.5,2.83,2.66,0,1,1,37,9,37,9,9147,117.8,0,"A_yng_adults","C+"
"779","Graduate",18,3.21,3.31,3.26,0,1,1,1,2,1,7,9085,128.4,1,"A_yng_adults","B"
"780","Dropout",18,3.62,2.5,3.06,0,1,1,3,2,1,3,9853,124.1,0,"A_yng_adults","B"
"781","Graduate",18,2.93,2.72,2.83,1,1,1,1,8,37,7,9500,120.5,1,"A_yng_adults","B-"
"782","Dropout",18,3.05,3.06,3.05,0,1,1,12,5,38,7,9254,116.9,0,"A_yng_adults","B"
"783","Dropout",18,3.25,3.25,3.25,1,1,1,38,9,38,9,9670,128.1,1,"A_yng_adults","B"
"784","Graduate",18,4,3.42,3.71,1,1,1,3,3,3,3,9070,146.2,0,"A_yng_adults","A-"
"785","Dropout",18,3.15,3.25,3.2,1,1,1,19,9,37,9,9670,114.3,0,"A_yng_adults","B"
"786","Dropout",18,0,0,0,1,1,1,1,2,1,5,9773,127,0,"A_yng_adults","F"
"787","Graduate",18,3.54,3.21,3.38,1,1,1,1,4,3,1,9773,135.2,0,"A_yng_adults","B+"
"788","Dropout",18,3.25,0,1.62,1,1,1,38,4,1,4,9773,123.6,0,"A_yng_adults","D+"
"789","Graduate",18,3.25,3.33,3.29,1,1,1,5,1,1,5,9147,144.6,0,"A_yng_adults","B"
"790","Graduate",18,2.75,2.69,2.72,1,1,1,38,5,19,5,9070,119.9,0,"A_yng_adults","B-"
"791","Enrolled",18,0,0,0,1,1,1,2,3,2,2,171,118.4,0,"A_yng_adults","F"
"792","Graduate",18,3.62,3.79,3.7,1,1,1,3,2,3,2,9070,165.8,0,"A_yng_adults","A-"
"793","Dropout",18,2.8,2.5,2.65,1,1,1,3,2,3,2,9254,124.3,0,"A_yng_adults","C+"
"794","Graduate",18,3.12,3.15,3.13,0,1,1,19,3,38,9,9773,126.5,0,"A_yng_adults","B"
"795","Graduate",18,3.44,3.42,3.43,0,1,1,1,4,1,3,9500,125.1,0,"A_yng_adults","B+"
"796","Graduate",18,3.45,3.15,3.3,0,1,1,1,4,19,9,9085,142.2,0,"A_yng_adults","B+"
"797","Graduate",18,3.61,3.48,3.54,0,1,1,1,4,1,4,9500,127,0,"A_yng_adults","B+"
"798","Graduate",18,3.29,3.12,3.2,0,1,1,3,4,1,9,9238,128.6,1,"A_yng_adults","B"
"799","Graduate",18,3.71,3.38,3.54,0,1,1,2,2,3,2,9773,133.7,1,"A_yng_adults","B+"
"800","Graduate",18,2.9,2.85,2.88,0,1,1,37,5,38,5,9147,128.9,1,"A_yng_adults","B-"
"801","Graduate",18,3.54,3.5,3.52,0,1,1,38,5,37,5,9070,154.4,0,"A_yng_adults","B+"
"802","Graduate",18,2.68,2.75,2.71,0,1,1,38,6,37,7,9147,113,1,"A_yng_adults","B-"
"803","Graduate",18,3.25,3.06,3.16,0,1,41,3,4,3,2,9085,101.3,0,"A_yng_adults","B"
"804","Graduate",18,2.85,2.81,2.83,0,1,1,1,4,14,5,9670,113.7,0,"A_yng_adults","B-"
"805","Graduate",18,3.58,3.58,3.58,0,1,1,37,9,37,9,9500,132.5,0,"A_yng_adults","B+"
"806","Graduate",18,3.94,3.45,3.7,0,1,1,37,9,1,9,9085,165.2,1,"A_yng_adults","A-"
"807","Graduate",18,2.83,2.71,2.77,0,1,1,38,9,36,9,9254,124,1,"A_yng_adults","B-"
"808","Enrolled",18,3.42,3.42,3.42,0,1,1,19,9,3,5,9500,130.8,0,"A_yng_adults","B+"
"809","Enrolled",18,2.98,3.2,3.09,0,1,1,37,7,37,7,9500,126.2,1,"A_yng_adults","B"
"810","Dropout",18,0,0,0,0,1,1,19,5,19,1,171,130.7,0,"A_yng_adults","F"
"811","Graduate",18,3.42,3.25,3.34,0,1,1,1,3,1,5,9773,130.1,0,"A_yng_adults","B+"
"812","Dropout",18,4,3.66,3.83,0,1,1,40,3,40,7,9085,150.9,0,"A_yng_adults","A-"
"813","Graduate",18,0,0,0,1,1,1,1,4,1,9,171,167.1,1,"A_yng_adults","F"
"814","Dropout",18,3.12,3.39,3.26,1,1,1,3,3,1,3,9119,116.1,0,"A_yng_adults","B"
"815","Graduate",18,3.18,2.96,3.07,1,1,1,38,5,1,7,9773,131,1,"A_yng_adults","B"
"816","Graduate",18,3.83,3.83,3.83,1,1,1,38,9,37,9,9500,139.5,1,"A_yng_adults","A-"
"817","Graduate",18,3.38,3.5,3.44,0,1,1,19,9,1,9,9773,130.6,1,"A_yng_adults","B+"
"818","Graduate",18,3,2.85,2.92,0,1,1,1,9,1,7,9147,117.4,1,"A_yng_adults","B-"
"819","Dropout",18,2.75,2.83,2.79,0,1,1,1,9,1,10,9254,142.7,0,"A_yng_adults","B-"
"820","Graduate",18,3.21,3.08,3.14,0,1,1,1,9,19,9,9254,130.3,1,"A_yng_adults","B"
"821","Graduate",18,3.48,3.48,3.48,0,1,1,19,9,19,3,9500,125,0,"A_yng_adults","B+"
"822","Graduate",18,3.79,3.54,3.66,0,1,1,37,9,38,8,9238,134.2,1,"A_yng_adults","B+"
"823","Graduate",18,3.5,3.74,3.62,0,1,1,3,4,1,3,9500,136.7,0,"A_yng_adults","B+"
"824","Graduate",18,3.18,3.07,3.12,0,1,1,38,9,38,9,9853,127.4,1,"A_yng_adults","B"
"825","Enrolled",18,0,3.31,1.66,0,1,1,3,2,19,9,9147,126.1,0,"A_yng_adults","D+"
"826","Graduate",18,3.63,3.63,3.63,0,1,1,37,9,37,7,9500,136.5,1,"A_yng_adults","B+"
"827","Graduate",18,2.93,3.67,3.3,0,1,1,38,9,38,9,9238,156.5,1,"A_yng_adults","B+"
"828","Graduate",18,3.25,3.42,3.34,0,1,1,19,9,38,5,9773,143,0,"A_yng_adults","B+"
"829","Graduate",18,3.39,3.51,3.45,0,1,1,19,9,19,7,9500,131.9,1,"A_yng_adults","B+"
"830","Graduate",18,0,0,0,0,1,1,3,3,3,3,171,155.1,0,"A_yng_adults","F"
"831","Graduate",18,3.54,3.54,3.54,0,1,1,1,9,19,3,9500,130.3,1,"A_yng_adults","B+"
"832","Dropout",18,0,0,0,0,1,1,1,4,1,5,9500,123.3,0,"A_yng_adults","F"
"833","Enrolled",18,2.75,0,1.38,0,1,1,38,7,38,5,9147,133.4,0,"A_yng_adults","D+"
"834","Dropout",18,0,0,0,0,1,1,1,4,19,7,9500,126.7,0,"A_yng_adults","F"
"835","Graduate",18,3.32,3.24,3.28,0,1,1,1,7,19,8,9500,129.3,1,"A_yng_adults","B"
"836","Dropout",18,3.17,2.88,3.02,0,1,1,1,5,38,8,9238,125.8,1,"A_yng_adults","B"
"837","Graduate",18,3.55,3.55,3.55,0,1,1,1,4,1,4,9500,134.3,0,"A_yng_adults","B+"
"838","Dropout",18,3.46,3.5,3.48,0,1,1,1,8,38,8,9773,136.7,1,"A_yng_adults","B+"
"839","Graduate",18,3.36,3.38,3.37,0,1,1,1,4,38,7,9773,146.5,1,"A_yng_adults","B+"
"840","Graduate",18,3.46,3.17,3.32,0,1,1,1,9,19,9,9773,141.7,0,"A_yng_adults","B+"
"841","Dropout",18,2.93,2.83,2.88,0,1,1,1,3,19,3,9070,127.7,0,"A_yng_adults","B-"
"842","Graduate",18,0,0,0,0,1,1,1,5,19,8,171,141.4,1,"A_yng_adults","F"
"843","Graduate",18,3.62,3.65,3.63,0,1,1,3,2,3,2,9500,127.5,1,"A_yng_adults","B+"
"844","Graduate",18,2.89,3.04,2.96,0,1,1,4,1,3,1,9238,119.8,0,"A_yng_adults","B-"
"845","Graduate",18,3.45,3.45,3.45,0,1,1,38,7,19,9,9500,129.5,1,"A_yng_adults","B+"
"846","Dropout",18,0,0,0,0,1,1,38,5,19,3,9119,119.1,0,"A_yng_adults","F"
"847","Graduate",18,3.23,3.23,3.23,1,1,1,37,9,37,7,9500,121.8,1,"A_yng_adults","B"
"848","Graduate",18,3.25,3.25,3.25,1,1,1,19,9,1,9,9500,137.8,0,"A_yng_adults","B"
"849","Graduate",18,3.17,3.38,3.28,1,1,1,38,5,38,7,9773,126.4,1,"A_yng_adults","B"
"850","Graduate",18,3.04,3.25,3.14,1,1,1,1,5,1,9,9670,126.3,1,"A_yng_adults","B"
"851","Dropout",18,0,0,0,1,1,1,37,5,37,7,9147,116.2,0,"A_yng_adults","F"
"852","Enrolled",18,2.81,3.06,2.94,1,1,1,19,9,19,7,9147,119.5,1,"A_yng_adults","B-"
"853","Dropout",18,3.18,3.2,3.19,1,1,1,1,4,1,3,9500,130.7,1,"A_yng_adults","B"
"854","Dropout",18,0,3,1.5,1,1,1,38,9,38,9,9119,121.7,0,"A_yng_adults","D+"
"855","Dropout",18,2.9,3.55,3.22,1,1,1,1,9,19,8,9119,111,0,"A_yng_adults","B"
"856","Graduate",18,3.35,3.75,3.55,1,1,1,1,4,38,7,9147,137,0,"A_yng_adults","B+"
"857","Dropout",18,2.5,0,1.25,1,1,1,1,4,3,2,9119,123,0,"A_yng_adults","D"
"858","Graduate",18,3.32,3.32,3.32,1,1,1,19,4,37,9,9500,132.3,1,"A_yng_adults","B+"
"859","Graduate",18,3.13,3.55,3.34,1,1,1,19,9,38,6,9500,131.5,1,"A_yng_adults","B+"
"860","Graduate",18,4.05,4,4.03,1,1,1,1,4,38,5,9119,148.7,0,"A_yng_adults","A"
"861","Enrolled",18,0,0,0,1,1,1,19,9,19,9,9119,125.7,0,"A_yng_adults","F"
"862","Graduate",18,3.57,3.71,3.64,1,1,1,4,3,3,3,9130,127.8,0,"A_yng_adults","B+"
"863","Dropout",18,0,0,0,1,1,1,1,9,2,2,171,130,0,"A_yng_adults","F"
"864","Enrolled",18,3.29,3.29,3.29,1,1,1,3,2,1,7,9500,125.5,0,"A_yng_adults","B"
"865","Dropout",18,3.25,2.95,3.1,1,1,1,19,8,38,3,9773,133.7,0,"A_yng_adults","B"
"866","Graduate",18,3.38,3.04,3.21,0,1,1,19,4,38,5,9238,133.7,0,"A_yng_adults","B"
"867","Graduate",18,3.17,3.2,3.18,0,1,1,37,9,37,3,9773,137,1,"A_yng_adults","B"
"868","Graduate",18,3.29,3.17,3.23,1,1,1,2,3,1,3,9773,129.5,0,"A_yng_adults","B"
"869","Graduate",18,3.21,3.21,3.21,1,1,1,19,9,19,7,9773,129.6,0,"A_yng_adults","B"
"870","Enrolled",18,2.95,3,2.98,1,1,1,1,141,19,193,9119,121.7,0,"A_yng_adults","B-"
"871","Dropout",18,3.17,2.79,2.98,1,1,1,19,5,1,4,9670,119.1,0,"A_yng_adults","B-"
"872","Enrolled",18,3.75,3.55,3.65,1,1,1,19,9,19,8,9119,129.8,1,"A_yng_adults","B+"
"873","Dropout",18,3.4,2.95,3.17,0,1,1,19,9,38,7,9238,131.3,0,"A_yng_adults","B"
"874","Graduate",18,3.12,3.46,3.29,0,1,1,1,7,1,7,9773,136.7,0,"A_yng_adults","B"
"875","Dropout",18,3.06,2.75,2.91,0,1,41,37,9,37,9,9085,109.6,0,"A_yng_adults","B-"
"876","Graduate",18,3.78,4.02,3.9,0,1,1,1,3,19,3,9500,131.9,1,"A_yng_adults","A-"
"877","Graduate",18,3.29,4,3.64,0,1,1,19,9,37,9,9238,140.7,1,"A_yng_adults","B+"
"878","Enrolled",18,3.04,2.8,2.92,0,1,1,1,4,19,4,9773,131,1,"A_yng_adults","B-"
"879","Dropout",18,0,0,0,0,1,1,3,9,37,9,171,142.7,0,"A_yng_adults","F"
"880","Graduate",18,3.19,3.19,3.19,0,1,1,3,4,38,6,9085,142.3,0,"A_yng_adults","B"
"881","Graduate",18,3.61,3.48,3.54,0,2,1,38,5,38,5,9500,128.7,0,"A_yng_adults","B+"
"882","Graduate",18,3.5,3.32,3.41,0,1,1,1,4,19,4,9670,128,1,"A_yng_adults","B+"
"883","Graduate",18,3.08,3.08,3.08,0,1,1,19,5,38,5,9500,118,0,"A_yng_adults","B"
"884","Graduate",18,3.33,3.78,3.55,0,1,1,38,9,37,9,9556,124.4,1,"A_yng_adults","B+"
"885","Graduate",18,3.21,3.04,3.12,0,1,1,1,4,19,10,9773,129.4,0,"A_yng_adults","B"
"886","Graduate",18,3.57,3.31,3.44,0,1,1,3,123,3,122,9773,155,0,"A_yng_adults","B+"
"887","Graduate",18,3.08,3.15,3.12,0,1,1,38,9,38,10,9085,127,0,"A_yng_adults","B"
"888","Dropout",18,0,0,0,1,1,1,37,9,38,9,171,120.7,0,"A_yng_adults","F"
"889","Dropout",18,0,0,0,1,1,1,1,9,1,9,171,124.8,0,"A_yng_adults","F"
"890","Dropout",18,0,0,0,1,1,1,3,2,1,5,9085,112.9,0,"A_yng_adults","F"
"891","Enrolled",18,3.21,2.85,3.03,1,1,1,38,5,37,5,9070,120.2,0,"A_yng_adults","B"
"892","Graduate",18,0,0,0,1,1,1,37,9,37,9,171,124.3,0,"A_yng_adults","F"
"893","Dropout",18,3.38,0,1.69,1,1,1,19,5,37,8,9670,130.2,0,"A_yng_adults","D+"
"894","Dropout",18,3,2.67,2.84,1,1,1,1,4,1,4,9119,130.4,0,"A_yng_adults","B-"
"895","Dropout",18,3.06,3.05,3.05,1,1,1,1,9,1,9,9670,116.1,1,"A_yng_adults","B"
"896","Graduate",18,3.4,3.65,3.52,1,1,1,3,9,1,3,9119,123.2,0,"A_yng_adults","B+"
"897","Dropout",18,0,2.88,1.44,1,1,1,37,9,37,7,9119,118.4,0,"A_yng_adults","D+"
"898","Dropout",18,0,0,0,0,1,1,12,4,1,0,9853,134.8,0,"A_yng_adults","F"
"899","Dropout",18,0,0,0,0,1,1,1,4,19,5,9500,135.1,0,"A_yng_adults","F"
"900","Graduate",18,2.92,3.05,2.98,0,1,1,1,9,1,4,9773,126.2,0,"A_yng_adults","B-"
"901","Dropout",18,3.42,3.91,3.66,0,1,1,3,3,1,4,9500,126.7,0,"A_yng_adults","B+"
"902","Graduate",18,3.35,3.39,3.37,0,1,1,1,4,3,3,9500,124.6,0,"A_yng_adults","B+"
"903","Dropout",18,3.29,3.3,3.3,0,1,1,1,4,1,4,9773,127.2,1,"A_yng_adults","B+"
"904","Graduate",18,3.29,3.54,3.42,0,1,1,1,4,19,7,9238,113.5,1,"A_yng_adults","B+"
"905","Graduate",18,3.29,3.29,3.29,0,1,1,3,1,3,1,9500,125.8,0,"A_yng_adults","B"
"906","Graduate",18,3.04,3.29,3.16,0,1,1,1,5,19,5,9853,119.4,0,"A_yng_adults","B"
"907","Dropout",18,2.75,0,1.38,1,1,1,38,9,38,8,9238,108.7,0,"A_yng_adults","D+"
"908","Graduate",18,3.65,3.37,3.51,1,1,1,19,4,19,7,9500,131,0,"A_yng_adults","B+"
"909","Dropout",18,3,3,3,1,1,1,19,7,19,9,9119,121.3,0,"A_yng_adults","B"
"910","Graduate",18,3.5,3.3,3.4,1,1,1,4,2,38,7,9119,107.4,0,"A_yng_adults","B+"
"911","Graduate",18,3.39,2.95,3.17,1,1,1,1,4,19,4,9254,116.9,0,"A_yng_adults","B"
"912","Dropout",18,2.69,2.5,2.59,0,1,1,1,5,19,5,9147,130.1,0,"A_yng_adults","C+"
"913","Enrolled",18,3.21,3.21,3.21,0,1,1,37,9,37,7,9500,123.6,1,"A_yng_adults","B"
"914","Enrolled",18,3.15,3.21,3.18,0,1,1,19,3,3,2,9500,126.1,0,"A_yng_adults","B"
"915","Graduate",18,3.79,3.71,3.75,1,1,1,37,5,37,5,9773,127.7,0,"A_yng_adults","A-"
"916","Enrolled",18,0,3.75,1.88,1,1,1,1,4,38,3,9119,129.8,0,"A_yng_adults","C-"
"917","Dropout",18,3.88,3.88,3.88,1,1,1,38,4,38,9,9085,131.6,1,"A_yng_adults","A-"
"918","Graduate",18,3.09,3.09,3.09,1,1,1,1,4,1,4,9500,129,0,"A_yng_adults","B"
"919","Dropout",18,2.75,0,1.38,1,1,1,38,6,38,7,9773,153,1,"A_yng_adults","D+"
"920","Graduate",18,3,3.21,3.1,1,1,1,19,9,38,9,9773,132,1,"A_yng_adults","B"
"921","Dropout",18,2.81,2.71,2.76,0,1,1,37,9,38,9,9670,113.9,0,"A_yng_adults","B-"
"922","Graduate",18,2.55,2.81,2.68,0,1,1,37,9,37,9,9238,121.8,1,"A_yng_adults","C+"
"923","Graduate",18,2.71,3,2.86,0,1,1,38,9,38,7,9238,114.7,1,"A_yng_adults","B-"
"924","Enrolled",18,3.54,3.36,3.45,0,1,1,1,9,1,9,9670,124.1,0,"A_yng_adults","B+"
"925","Graduate",18,3.56,3.12,3.34,0,1,1,1,5,1,7,9147,133.2,1,"A_yng_adults","B+"
"926","Graduate",18,3.3,3.3,3.3,1,1,1,38,9,37,7,9500,130,1,"A_yng_adults","B+"
"927","Graduate",18,3.25,3.5,3.38,0,1,1,37,9,37,6,9147,145,0,"A_yng_adults","B+"
"928","Graduate",18,3.33,3.08,3.2,0,1,1,19,9,12,7,9853,137.1,0,"A_yng_adults","B"
"929","Graduate",18,3.1,3.12,3.11,0,1,1,19,5,19,5,9238,124.5,1,"A_yng_adults","B"
"930","Dropout",18,3.54,3,3.27,0,1,1,38,5,37,3,9773,122.3,0,"A_yng_adults","B"
"931","Graduate",18,0,0,0,0,1,1,19,5,37,5,171,126,1,"A_yng_adults","F"
"932","Graduate",18,3.33,3.54,3.44,0,1,2,1,5,1,9,9773,146.5,1,"A_yng_adults","B+"
"933","Graduate",18,3.62,3.21,3.42,0,1,1,3,4,1,9,9130,121.9,0,"A_yng_adults","B+"
"934","Graduate",18,3.46,3.57,3.51,0,1,1,37,9,37,8,9773,116.1,1,"A_yng_adults","B+"
"935","Graduate",18,0,0,0,0,1,1,3,2,1,6,171,139.4,1,"A_yng_adults","F"
"936","Graduate",18,3.3,3.6,3.45,0,1,1,1,9,19,10,9147,147.8,1,"A_yng_adults","B+"
"937","Graduate",18,3.25,3.1,3.17,0,1,1,37,90,11,90,9085,122.6,0,"A_yng_adults","B"
"938","Graduate",18,3.2,3.15,3.17,0,1,1,38,9,19,10,9147,125,0,"A_yng_adults","B"
"939","Graduate",18,3.49,3.94,3.71,0,1,1,19,3,19,10,9500,131.1,0,"A_yng_adults","A-"
"940","Graduate",18,3.25,3.25,3.25,0,1,1,19,5,19,5,9500,132.8,1,"A_yng_adults","B"
"941","Graduate",18,3.44,3.15,3.3,0,1,1,19,9,19,7,9500,119.9,0,"A_yng_adults","B+"
"942","Graduate",18,3.71,3.79,3.75,0,1,1,19,3,19,7,9853,127.9,1,"A_yng_adults","A-"
"943","Graduate",18,3.04,3.33,3.18,0,1,1,1,4,38,7,9238,114.6,1,"A_yng_adults","B"
"944","Graduate",18,3.92,3.71,3.82,0,1,1,40,2,4,2,9085,144.5,0,"A_yng_adults","A-"
"945","Graduate",18,2.81,3.25,3.03,0,1,1,37,9,37,9,9773,130.8,0,"A_yng_adults","B"
"946","Graduate",18,3.81,3.81,3.81,0,1,1,1,4,1,3,9500,140.5,0,"A_yng_adults","A-"
"947","Graduate",18,3.21,3.04,3.12,0,1,1,38,152,19,171,9238,131.1,1,"A_yng_adults","B"
"948","Dropout",18,3,3,3,0,1,1,1,9,1,9,9853,120,0,"A_yng_adults","B"
"949","Graduate",18,3.38,3.38,3.38,1,1,1,37,9,37,9,9500,136.3,1,"A_yng_adults","B+"
"950","Graduate",18,3.71,3.7,3.7,0,1,1,19,7,38,7,9500,136.5,1,"A_yng_adults","A-"
"951","Graduate",18,3.44,3.44,3.44,1,1,1,2,3,19,9,9500,130.3,0,"A_yng_adults","B+"
"952","Graduate",18,3.92,3.82,3.87,0,1,1,1,9,19,9,9085,153.6,1,"A_yng_adults","A-"
"953","Graduate",18,2.96,2.96,2.96,0,1,1,3,2,19,3,9853,112.9,0,"A_yng_adults","B-"
"954","Graduate",18,3.62,3.4,3.51,0,1,1,3,2,1,4,9085,124.1,0,"A_yng_adults","B+"
"955","Graduate",18,3.15,3,3.08,0,1,1,19,9,19,9,9773,110,0,"A_yng_adults","B"
"956","Enrolled",18,3.07,3.07,3.07,0,1,1,2,3,38,8,9500,136.3,0,"A_yng_adults","B"
"957","Graduate",18,3.21,3.25,3.23,0,1,1,19,9,1,8,9254,140.9,1,"A_yng_adults","B"
"958","Graduate",18,3.48,3.48,3.48,0,2,1,1,9,1,10,9500,135.5,0,"A_yng_adults","B+"
"959","Dropout",18,0,0,0,0,1,1,34,0,1,0,9130,163,0,"A_yng_adults","F"
"960","Dropout",18,0,0,0,0,1,1,19,5,19,5,9773,157,0,"A_yng_adults","F"
"961","Graduate",18,3.75,3.71,3.73,0,1,1,5,2,43,2,9130,149.7,0,"A_yng_adults","A-"
"962","Graduate",18,2.95,3.15,3.05,0,1,1,1,5,1,7,9670,154.7,1,"A_yng_adults","B"
"963","Graduate",18,3.51,3.65,3.58,0,1,1,3,3,3,3,9500,130.8,0,"A_yng_adults","B+"
"964","Dropout",18,2.94,2.5,2.72,0,1,1,1,4,38,9,9254,122.7,0,"A_yng_adults","B-"
"965","Graduate",18,3.49,3.49,3.49,0,1,1,19,9,38,7,9500,136.3,1,"A_yng_adults","B+"
"966","Dropout",18,2.75,0,1.38,0,1,1,34,5,1,7,9070,129.8,0,"A_yng_adults","D+"
"967","Enrolled",18,3.39,3.2,3.3,0,1,1,37,9,37,7,9670,131.8,1,"A_yng_adults","B+"
"968","Dropout",18,0,0,0,0,1,1,37,7,37,9,171,126.8,1,"A_yng_adults","F"
"969","Dropout",18,3.47,0,1.74,0,1,1,1,4,1,10,9500,145,0,"A_yng_adults","C-"
